[787622716(TR: 10.91266, TS: 10.54930) -> {880680199=172, 1689826712=78, 1119091505=78, 1998680479=78}]
[1454022111(TR: 10.91273, TS: 10.56481) -> {880680199=356, 1689826712=158, 1119091505=158, 1998680479=158}]
[338280102(TR: 10.91279, TS: 10.55841) -> {880680199=166, 1689826712=75, 1119091505=75, 1998680479=75}]
[1177296647(TR: 10.91291, TS: 10.42718) -> {880680199=216, 1689826712=96, 1119091505=96, 1998680479=96}]
[2042128181(TR: 10.91296, TS: 10.60220) -> {880680199=276, 1689826712=122, 1119091505=122, 1998680479=122}]
[2071878072(TR: 10.91298, TS: 10.58858) -> {880680199=432, 1689826712=192, 1119091505=192, 1998680479=192}]
[578487551(TR: 10.91310, TS: 10.51287) -> {880680199=228, 1689826712=102, 1119091505=102, 1998680479=102}]
[67756944(TR: 10.91330, TS: 10.56373) -> {880680199=266, 1689826712=121, 1119091505=121, 1998680479=121}]
[1051897323(TR: 10.91334, TS: 10.60164) -> {880680199=166, 1689826712=75, 1119091505=75, 1998680479=75}]
[931692572(TR: 10.91343, TS: 10.54416) -> {880680199=166, 1689826712=75, 1119091505=75, 1998680479=75}]
[1303262958(TR: 10.91374, TS: 10.55955) -> {880680199=166, 1689826712=75, 1119091505=75, 1998680479=75}]
[116414888(TR: 10.91384, TS: 10.56743) -> {880680199=500, 1689826712=222, 1119091505=222, 1998680479=222}]
[763781480(TR: 10.91393, TS: 10.55968) -> {880680199=530, 1689826712=237, 1119091505=221, 1998680479=220, 55964929=12, 1720288815=9, 1236336798=9, 1313328519=8, 1561859852=5, 869939083=3, 635680347=3, 426551051=2, 2138915098=1, 338809723=1, 1509037246=1, 184418917=1}]
[1593674916(TR: 10.91396, TS: 10.53850) -> {880680199=144, 1689826712=64, 1119091505=64, 1998680479=64}]
[1649985747(TR: 10.91397, TS: 10.57222) -> {880680199=501, 1689826712=224, 1119091505=216, 1998680479=216, 1720288815=3, 1236336798=3, 55964929=3, 1313328519=2, 426551051=2, 1561859852=2, 2138915098=1, 338809723=1, 1509037246=1, 184418917=1}]
[1717690409(TR: 10.91402, TS: 10.67061) -> {880680199=188, 1689826712=86, 1119091505=86, 1998680479=86}]
[2029142188(TR: 10.91415, TS: 10.61858) -> {880680199=72, 1689826712=32, 1119091505=32, 1998680479=32}]
[1247312826(TR: 10.91432, TS: 10.63728) -> {880680199=380, 1689826712=170, 1119091505=170, 1998680479=170}]
[1860320370(TR: 10.91438, TS: 10.56423) -> {880680199=455, 1689826712=205, 1119091505=197, 1998680479=197, 1720288815=3, 1236336798=3, 55964929=3, 1313328519=2, 426551051=2, 1561859852=2, 2138915098=1, 338809723=1, 1509037246=1, 184418917=1}]
[132901167(TR: 10.91444, TS: 10.51424) -> {880680199=358, 1689826712=159, 1119091505=159, 1998680479=159}]
[1844850270(TR: 10.91448, TS: 10.56436) -> {880680199=643, 1689826712=287, 1119091505=279, 1998680479=279, 1720288815=3, 1236336798=3, 55964929=3, 1313328519=2, 426551051=2, 1561859852=2, 2138915098=1, 338809723=1, 1509037246=1, 184418917=1}]
[1694109169(TR: 10.91449, TS: 10.56348) -> {880680199=216, 1689826712=96, 1119091505=96, 1998680479=96}]
[453295280(TR: 10.91450, TS: 10.55872) -> {880680199=268, 1689826712=124, 1119091505=124, 1998680479=124}]
[1132366958(TR: 10.91451, TS: 10.55575) -> {880680199=238, 1689826712=107, 1119091505=107, 1998680479=107}]
[522636929(TR: 10.91453, TS: 10.56437) -> {880680199=310, 1689826712=139, 1119091505=139, 1998680479=139}]
[730324241(TR: 10.91473, TS: 10.55295) -> {880680199=250, 1689826712=115, 1119091505=115, 1998680479=115}]
[358090221(TR: 10.91489, TS: 10.53720) -> {880680199=72, 1689826712=32, 1119091505=32, 1998680479=32}]
[577955540(TR: 10.91495, TS: 10.43095) -> {880680199=264, 1689826712=116, 1119091505=116, 1998680479=116}]
[185169629(TR: 10.91497, TS: 10.49914) -> {880680199=166, 1689826712=75, 1119091505=75, 1998680479=75}]
[510873080(TR: 10.91497, TS: 10.55122) -> {880680199=366, 1689826712=163, 1119091505=147, 1998680479=146, 55964929=12, 1720288815=9, 1236336798=9, 1313328519=8, 1561859852=5, 869939083=3, 635680347=3, 426551051=2, 2138915098=1, 338809723=1, 1509037246=1, 184418917=1}]
[1272009910(TR: 10.91497, TS: 10.60477) -> {880680199=400, 1689826712=182, 1119091505=182, 1998680479=182}]
[2116046686(TR: 10.91500, TS: 10.57866) -> {880680199=563, 1689826712=251, 1119091505=243, 1998680479=243, 1720288815=3, 1236336798=3, 55964929=3, 1313328519=2, 426551051=2, 1561859852=2, 2138915098=1, 338809723=1, 1509037246=1, 184418917=1}]
[1054826969(TR: 10.91500, TS: 10.54659) -> {880680199=166, 1689826712=75, 1119091505=75, 1998680479=75}]
[977794935(TR: 10.91519, TS: 10.49169) -> {880680199=336, 1689826712=146, 1119091505=146, 1998680479=146}]
