[1451676083(TR: 10.53821, TS: 10.07966) -> {880680199=5382, 2087390487=138}]
[1086020405(TR: 10.53824, TS: 10.08906) -> {880680199=1092, 2087390487=28}]
[1138656231(TR: 10.53828, TS: 10.08611) -> {880680199=6522, 2087390487=168}]
[137668212(TR: 10.53836, TS: 10.09605) -> {880680199=1638, 2087390487=42}]
[1751115144(TR: 10.53843, TS: 10.04545) -> {880680199=1092, 2087390487=28}]
[1915189573(TR: 10.53846, TS: 10.04973) -> {880680199=3276, 2087390487=84}]
[1162939741(TR: 10.53853, TS: 10.02089) -> {880680199=1092, 2087390487=28}]
[1761285253(TR: 10.53859, TS: 10.08663) -> {880680199=2184, 2087390487=56}]
[2132791223(TR: 10.53862, TS: 10.04316) -> {880680199=8496, 2087390487=219}]
[918252608(TR: 10.53862, TS: 10.08762) -> {880680199=546, 2087390487=14}]
[2077074479(TR: 10.53863, TS: 10.15160) -> {880680199=1638, 2087390487=42}]
[1260574959(TR: 10.53874, TS: 10.13002) -> {880680199=546, 2087390487=14}]
[1245824075(TR: 10.53877, TS: 10.13029) -> {880680199=4290, 2087390487=110}]
[670398511(TR: 10.53880, TS: 10.04584) -> {880680199=8496, 2087390487=219}]
[831474722(TR: 10.53883, TS: 10.03696) -> {880680199=5976, 2087390487=154}]
[1815551836(TR: 10.53896, TS: 10.04655) -> {880680199=5460, 2087390487=140}]
[672201997(TR: 10.53897, TS: 10.08230) -> {880680199=8604, 2087390487=221}]
[615046176(TR: 10.53914, TS: 10.09122) -> {880680199=1638, 2087390487=42}]
[1871538891(TR: 10.53916, TS: 10.08253) -> {880680199=4314, 2087390487=111}]
[991184281(TR: 10.53925, TS: 10.09982) -> {880680199=5928, 2087390487=152}]
[348340067(TR: 10.53925, TS: 10.07097) -> {880680199=11952, 2087390487=308}]
[1994962951(TR: 10.53926, TS: 10.02983) -> {880680199=2184, 2087390487=56}]
[1924615971(TR: 10.53940, TS: 10.06069) -> {880680199=3822, 2087390487=98}]
[1805055073(TR: 10.53941, TS: 10.05559) -> {880680199=2184, 2087390487=56}]
[1713628759(TR: 10.53949, TS: 10.10816) -> {880680199=5928, 2087390487=152}]
[1438142996(TR: 10.53952, TS: 10.02650) -> {880680199=2184, 2087390487=56}]
[499040727(TR: 10.53961, TS: 10.10333) -> {880680199=3276, 2087390487=84}]
[1096227837(TR: 10.53966, TS: 10.07806) -> {880680199=1638, 2087390487=42}]
[952065246(TR: 10.53986, TS: 10.09469) -> {880680199=1638, 2087390487=42}]
[788566319(TR: 10.53988, TS: 10.06205) -> {880680199=1638, 2087390487=42}]
[1155226977(TR: 10.53990, TS: 10.10253) -> {880680199=1092, 2087390487=28}]
[1034563316(TR: 10.54000, TS: 10.13746) -> {880680199=2184, 2087390487=56}]
[2142358579(TR: 10.54033, TS: 10.06693) -> {880680199=5226, 2087390487=134}]
[1410577155(TR: 10.54037, TS: 10.08719) -> {880680199=2730, 2087390487=70}]
[1253952693(TR: 10.54038, TS: 10.01834) -> {880680199=2184, 2087390487=56}]
[646747800(TR: 10.54042, TS: 10.05696) -> {880680199=2730, 2087390487=70}]
[1462568494(TR: 10.54042, TS: 10.04688) -> {880680199=546, 2087390487=14}]
[518995043(TR: 10.54052, TS: 10.11977) -> {880680199=1092, 2087390487=28}]
[982750063(TR: 10.54056, TS: 10.09265) -> {880680199=2184, 2087390487=56}]
[2020211443(TR: 10.54077, TS: 10.04749) -> {880680199=7068, 2087390487=182}]
[1204457382(TR: 10.54078, TS: 10.08624) -> {880680199=5382, 2087390487=138}]
[539078424(TR: 10.54079, TS: 10.07083) -> {880680199=2730, 2087390487=70}]
[110057624(TR: 10.54096, TS: 10.07439) -> {880680199=4680, 2087390487=120}]
[830899416(TR: 10.54104, TS: 10.11987) -> {880680199=2184, 2087390487=56}]
[572693233(TR: 10.54105, TS: 10.06826) -> {880680199=8268, 2087390487=212}]
[265730242(TR: 10.54107, TS: 10.09899) -> {880680199=2184, 2087390487=56}]
[1944152632(TR: 10.54116, TS: 10.12800) -> {880680199=1638, 2087390487=42}]
[1992589528(TR: 10.54119, TS: 10.09887) -> {880680199=10266, 2087390487=264}]
[1082620387(TR: 10.54128, TS: 10.07969) -> {880680199=6084, 2087390487=156}]
[2049821081(TR: 10.54137, TS: 9.99905) -> {880680199=3276, 2087390487=84}]
[48614478(TR: 10.54138, TS: 10.16405) -> {880680199=1092, 2087390487=28}]
