[671751331(TR: 11.09155, TS: 10.71126) -> {880680199=2436, 2087390487=64}]
[522070636(TR: 11.09158, TS: 10.69096) -> {880680199=312, 2087390487=8}]
[1798083494(TR: 11.09159, TS: 10.75251) -> {880680199=1584, 2087390487=41}]
[686082954(TR: 11.09160, TS: 10.62811) -> {880680199=468, 2087390487=12}]
[1349727537(TR: 11.09161, TS: 10.76784) -> {880680199=780, 2087390487=20}]
[1053829145(TR: 11.09163, TS: 10.67081) -> {880680199=312, 2087390487=8}]
[837696966(TR: 11.09167, TS: 10.77601) -> {880680199=1530, 2087390487=40}]
[1071122666(TR: 11.09177, TS: 10.70803) -> {880680199=936, 2087390487=24}]
[1984653469(TR: 11.09203, TS: 10.69315) -> {880680199=1248, 2087390487=32}]
[1231296173(TR: 11.09205, TS: 10.73083) -> {880680199=1272, 2087390487=33}]
[161743434(TR: 11.09210, TS: 10.70157) -> {880680199=156, 2087390487=4}]
[1992606924(TR: 11.09212, TS: 10.72321) -> {880680199=1404, 2087390487=36}]
[1541821705(TR: 11.09215, TS: 10.71432) -> {880680199=936, 2087390487=24}]
[853467558(TR: 11.09234, TS: 10.71974) -> {880680199=1506, 2087390487=39}]
[457245669(TR: 11.09235, TS: 10.70788) -> {880680199=1584, 2087390487=41}]
[1265845989(TR: 11.09254, TS: 10.72647) -> {880680199=624, 2087390487=16}]
[584322207(TR: 11.09265, TS: 10.57735) -> {880680199=312, 2087390487=8}]
[1740769970(TR: 11.09276, TS: 10.68143) -> {880680199=1014, 2087390487=26}]
[1955554180(TR: 11.09287, TS: 10.78732) -> {880680199=1466, 2087390487=40, 1689826712=1, 289890178=1, 597022555=1}]
[630871966(TR: 11.09298, TS: 10.72802) -> {880680199=936, 2087390487=24}]
[665323334(TR: 11.09301, TS: 10.68086) -> {880680199=1584, 2087390487=41}]
[1355288219(TR: 11.09304, TS: 10.63416) -> {880680199=312, 2087390487=8}]
